id_penyumbang,makanan_disumbangkan,jumlah_disumbangkan,lokasi_lat_penyumbang,lokasi_lon_penyumbang,kondisi_makanan,is_halal_donor,is_for_child_donor,is_for_elderly_donor,is_alergan,id_penerima,makanan_dibutuhkan,jumlah_dibutuhkan,lokasi_lat_penerima,lokasi_lon_penerima,frekuensi_menerima,kondisi_makanan_diterima,is_halal_receiver,is_for_child_receiver,is_for_elderly_receiver,is_alergan_free,status_penerima,matching_score,is_matching
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T1,makanan,1,-5.3864306019901065,105.26266063515553,5,layak_konsumsi,False,False,True,False,tidak mendesak,0.5375,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T2,minuman,20,-5.395715596342399,105.2619966594031,9,hampir_kadaluarsa,True,True,True,False,tidak mendesak,0.6724999999999999,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T3,minuman,46,-5.396494113812611,105.28577151227366,4,tidak_layak konsumsi,True,False,True,False,normal,0.5465217391304348,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T4,makanan_minuman,15,-5.37023611446767,105.2656968734426,5,hampir_kadaluarsa,False,True,False,False,mendesak,0.6074999999999999,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T5,minuman,48,-5.396749754234537,105.27453068998103,10,layak_konsumsi,True,False,False,False,tidak mendesak,0.6380681818181817,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T6,makanan,27,-5.384695057715781,105.27026869812131,9,layak_konsumsi_hampir_kadaluarsa,True,False,False,False,tidak mendesak,0.3686111111111111,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T7,makanan,34,-5.396662394524932,105.24057247214115,1,tidak_layak konsumsi,True,True,False,False,mendesak,0.3463235294117647,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T8,minuman,25,-5.405861402188426,105.24526636423208,7,layak_konsumsi,True,False,True,True,tidak mendesak,0.571375,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T9,makanan,15,-5.372639329426373,105.25765231417024,10,hampir_kadaluarsa,True,True,False,True,tidak mendesak,0.3018181818181819,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T10,makanan_minuman,41,-5.378808574001295,105.2585414717999,2,layak_konsumsi_hampir_kadaluarsa,False,True,False,True,normal,0.5573170731707318,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T11,makanan,24,-5.382090652839067,105.28847287720164,3,hampir_kadaluarsa,True,False,True,False,mendesak,0.48124999999999996,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T12,makanan,50,-5.388068736063081,105.25775482344024,2,layak_konsumsi,True,True,True,False,normal,0.531,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T13,makanan,27,-5.403203353556323,105.26040644381716,5,layak_konsumsi_hampir_kadaluarsa,False,True,False,False,tidak mendesak,0.3736111111111111,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T14,makanan_minuman,25,-5.405373580704513,105.2759378077154,7,tidak_layak konsumsi,True,False,False,True,tidak mendesak,0.49637500000000007,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T15,makanan,15,-5.380581031258931,105.2789232456178,10,hampir_kadaluarsa,False,True,True,False,tidak mendesak,0.47681818181818186,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T16,makanan,40,-5.380794750411897,105.28023092149604,8,tidak_layak konsumsi,True,True,True,False,normal,0.44083333333333335,False
D1,minuman,3,-5.395512338172377,105.2894940149432,layak_konsumsi,True,True,True,False,T17,makanan_minuman,12,-5.405527194625631,105.27239815083271,2,layak_konsumsi,True,True,True,False,tidak mendesak,0.7749999999999999,True
