id_penyumbang,jumlah_disumbangkan,is_halal_donor,is_for_child_donor,is_for_elderly_donor,is_alergan,id_penerima,jumlah_dibutuhkan,frekuensi_menerima,is_halal_receiver,is_for_child_receiver,is_for_elderly_receiver,is_alergan_free,matching_score,makanan_disumbangkan_makanan,makanan_disumbangkan_makanan_minuman,makanan_disumbangkan_minuman,kondisi_makanan_hampir_kadaluarsa,kondisi_makanan_layak_konsumsi,kondisi_makanan_tidak_layak_konsumsi,makanan_dibutuhkan_makanan,makanan_dibutuhkan_makanan_minuman,makanan_dibutuhkan_minuman,kondisi_makanan_diterima_hampir_kadaluarsa,kondisi_makanan_diterima_layak_konsumsi,kondisi_makanan_diterima_layak_konsumsi_hampir_kadaluarsa,kondisi_makanan_diterima_tidak_layak konsumsi,status_penerima_mendesak,status_penerima_normal,status_penerima_tidak mendesak,jarak
D38,0.24489795918367346,0,1,1,0,T84,0.7346938775510204,0.1111111111111111,0,0,0,0,0.5351351351351351,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0.33318280874868483
D34,0.5306122448979592,0,0,1,1,T84,0.7346938775510204,0.1111111111111111,0,0,0,0,0.5979729729729729,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0.4632749485362639
D57,0.04081632653061224,0,1,0,0,T66,0.5510204081632653,0.2222222222222222,0,0,0,1,0.5044642857142857,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0.35203885793990813
D83,0.8163265306122449,0,1,1,0,T28,0.7346938775510204,1.0,1,1,1,1,0.7568181818181817,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0.2556183446119043
D10,0.7755102040816326,1,0,0,0,T74,0.5306122448979592,0.3333333333333333,1,0,0,1,0.715,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0.5329830251379458
D77,0.5306122448979592,0,1,1,1,T34,0.5510204081632653,0.4444444444444444,1,1,1,1,0.5339285714285714,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0.636846999499534
D41,0.12244897959183673,0,1,0,0,T55,0.22448979591836735,0.7777777777777778,1,1,0,1,0.5166666666666667,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.011984561388927076
D14,0.5510204081632653,0,0,0,0,T87,0.14285714285714285,0.5555555555555556,0,0,1,0,0.5357142857142857,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0.2527388701583557
D79,0.30612244897959184,0,1,0,1,T46,0.9795918367346939,0.4444444444444444,1,1,1,0,0.5951530612244897,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.37231963409455787
D2,0.14285714285714285,1,0,1,0,T91,0.5102040816326531,0.5555555555555556,1,1,0,1,0.7664835164835163,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.4301633662128417
