id_penyumbang,jumlah_disumbangkan,is_halal_donor,is_for_child_donor,is_for_elderly_donor,is_alergan,id_penerima,jumlah_dibutuhkan,frekuensi_menerima,is_halal_receiver,is_for_child_receiver,is_for_elderly_receiver,is_alergan_free,matching_score,makanan_disumbangkan_makanan,makanan_disumbangkan_makanan_minuman,makanan_disumbangkan_minuman,kondisi_makanan_hampir_kadaluarsa,kondisi_makanan_layak_konsumsi,kondisi_makanan_tidak_layak_konsumsi,makanan_dibutuhkan_makanan,makanan_dibutuhkan_makanan_minuman,makanan_dibutuhkan_minuman,kondisi_makanan_diterima_hampir_kadaluarsa,kondisi_makanan_diterima_layak_konsumsi,kondisi_makanan_diterima_layak_konsumsi_hampir_kadaluarsa,kondisi_makanan_diterima_tidak_layak konsumsi,status_penerima_mendesak,status_penerima_normal,status_penerima_tidak mendesak,jarak
D33,0.2653061224489796,1,0,0,1,T65,0.8367346938775511,1.0,1,1,1,1,0.5151515151515151,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.2031017032236237
D47,0.8775510204081632,1,0,0,0,T11,0.46938775510204084,0.2222222222222222,1,0,1,0,0.4937499999999999,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0.5380572795728008
D52,0.30612244897959184,1,1,1,0,T62,0.30612244897959184,1.0,0,0,0,0,0.4318181818181819,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0.14204824962848484
D90,0.14285714285714285,0,0,1,1,T35,0.12244897959183673,0.0,1,0,0,0,0.4624999999999999,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.7146160393935207
D30,0.22448979591836735,1,0,0,0,T60,0.3469387755102041,0.6666666666666666,1,0,0,1,0.5260416666666666,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0.3820714131248126
D61,0.9183673469387755,1,1,1,0,T29,0.04081632653061224,0.2222222222222222,0,0,0,0,0.51875,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0.6006292005291013
D74,0.7551020408163265,0,1,1,0,T42,0.02040816326530612,0.3333333333333333,1,0,0,0,0.565,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0.3346369199677708
D78,1.0,0,1,0,0,T50,0.2653061224489796,0.0,0,0,1,1,0.7874999999999999,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0.4213354032136398
D73,0.8979591836734694,1,1,0,0,T68,0.8163265306122449,0.2222222222222222,1,1,1,0,0.59375,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.09437882357575511
D41,0.12244897959183673,0,1,0,0,T68,0.8163265306122449,0.2222222222222222,1,1,1,0,0.3108231707317073,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.17299793365360472
