id_penyumbang,makanan_disumbangkan,jumlah_disumbangkan,lokasi_lat_penyumbang,lokasi_lon_penyumbang,kondisi_makanan,is_halal_donor,is_for_child_donor,is_for_elderly_donor,is_alergan,id_penerima,makanan_dibutuhkan,jumlah_dibutuhkan,lokasi_lat_penerima,lokasi_lon_penerima,frekuensi_menerima,kondisi_makanan_diterima,is_halal_receiver,is_for_child_receiver,is_for_elderly_receiver,is_alergan_free,status_penerima,matching_score
D38,makanan_minuman,13,-5.369282496308794,105.26968972944807,hampir_kadaluarsa,False,True,True,False,T84,makanan,37,-5.372728857715112,105.24624318404956,2,tidak_layak konsumsi,False,False,False,False,mendesak,0.5351351351351351
D34,makanan,27,-5.398378554655068,105.26671657498574,hampir_kadaluarsa,False,False,True,True,T84,makanan,37,-5.372728857715112,105.24624318404956,2,tidak_layak konsumsi,False,False,False,False,mendesak,0.5979729729729729
D57,minuman,3,-5.3971102088604015,105.27718559657842,tidak_layak_konsumsi,False,True,False,False,T66,makanan_minuman,28,-5.373646089250235,105.28563111028993,3,hampir_kadaluarsa,False,False,False,True,tidak mendesak,0.5044642857142857
D83,makanan,41,-5.398179141501572,105.27542421108494,layak_konsumsi,False,True,True,False,T28,makanan_minuman,37,-5.393149441660301,105.25792649238338,10,hampir_kadaluarsa,True,True,True,True,mendesak,0.7568181818181817
D10,makanan_minuman,39,-5.387884154741927,105.26111062883372,tidak_layak_konsumsi,True,False,False,False,T74,makanan_minuman,27,-5.365638660896078,105.23057151792226,4,hampir_kadaluarsa,True,False,False,True,mendesak,0.715
D77,minuman,27,-5.388561414198374,105.22840627511742,hampir_kadaluarsa,False,True,True,True,T34,makanan_minuman,28,-5.380300776535751,105.27282900668936,5,layak_konsumsi,True,True,True,True,normal,0.5339285714285714
D41,makanan_minuman,7,-5.3877740175047695,105.276448722557,layak_konsumsi,False,True,False,False,T55,makanan,12,-5.388522386483765,105.27706277908672,8,layak_konsumsi_hampir_kadaluarsa,True,True,False,True,tidak mendesak,0.5166666666666667
D14,makanan_minuman,28,-5.388348704592493,105.2661298025372,tidak_layak_konsumsi,False,False,False,False,T87,minuman,8,-5.393398057234725,105.28340940019498,6,hampir_kadaluarsa,False,False,True,False,normal,0.5357142857142857
D79,minuman,16,-5.38559871454733,105.26540929530356,layak_konsumsi,False,True,False,True,T46,minuman,49,-5.4019639499640135,105.24466033546528,5,layak_konsumsi_hampir_kadaluarsa,True,True,True,False,mendesak,0.5951530612244897
D2,makanan,8,-5.399151001784689,105.24778601033132,layak_konsumsi,True,False,True,False,T91,makanan,26,-5.375387862251793,105.26687735828904,6,layak_konsumsi,True,True,False,True,mendesak,0.7664835164835163
D94,makanan_minuman,40,-5.399110952634129,105.25013349542232,hampir_kadaluarsa,False,True,True,True,T73,minuman,1,-5.379469373635833,105.2484517247208,8,hampir_kadaluarsa,False,False,True,True,tidak mendesak,0.5333333333333333
D66,minuman,25,-5.3894353167913644,105.24493687962172,hampir_kadaluarsa,False,False,False,True,T72,makanan,36,-5.368593638478763,105.2348610357526,7,tidak_layak konsumsi,False,True,True,True,mendesak,0.4538194444444445
D28,makanan,17,-5.385612914339666,105.28485916486996,layak_konsumsi,True,False,False,True,T36,makanan_minuman,6,-5.401535933637472,105.280817664295,8,layak_konsumsi_hampir_kadaluarsa,False,True,False,False,normal,0.7083333333333333
D48,minuman,5,-5.373470910725599,105.28990581141038,layak_konsumsi,True,True,True,False,T10,makanan_minuman,41,-5.378808574001295,105.2585414717999,2,layak_konsumsi_hampir_kadaluarsa,False,True,False,True,normal,0.5621951219512196
D11,makanan,5,-5.392628128241042,105.24903190940238,hampir_kadaluarsa,True,True,False,False,T19,makanan,19,-5.372220550592904,105.25794844155962,7,hampir_kadaluarsa,True,False,True,True,normal,0.7106907894736841
D35,makanan,34,-5.403297473756234,105.23044612604272,tidak_layak_konsumsi,True,True,True,True,T5,minuman,48,-5.396749754234537,105.27453068998103,10,layak_konsumsi,True,False,False,False,tidak mendesak,0.2776515151515152
D10,makanan_minuman,39,-5.387884154741927,105.26111062883372,tidak_layak_konsumsi,True,False,False,False,T68,makanan,41,-5.393579743899067,105.2655448019048,3,tidak_layak konsumsi,True,True,True,False,tidak mendesak,0.5888719512195122
D12,minuman,34,-5.397439400954801,105.26812911691276,layak_konsumsi,True,False,True,False,T22,minuman,41,-5.402191352778549,105.24684477192488,7,layak_konsumsi_hampir_kadaluarsa,True,False,True,True,mendesak,0.8423018292682927
D10,makanan_minuman,39,-5.387884154741927,105.26111062883372,tidak_layak_konsumsi,True,False,False,False,T21,makanan_minuman,32,-5.37413226402992,105.26711209662466,3,layak_konsumsi,True,True,True,True,normal,0.74375
