donor_id,jenis_makanan,jumlah_makanan,lokasi_donor,makanan_layak_konsumsi,is_halal,is_for_child,is_for_elderly,is_alergan
D1,['minuman'],4,"(-5.4371805167803, 105.22789132966643)",tidak layak konsumsi,True,False,False,True
D2,['minuman'],8,"(-5.41791883126274, 105.31303510252201)",tidak layak konsumsi,True,False,True,False
D3,"['makanan', 'minuman']",6,"(-5.37546883187783, 105.25501623675349)",tidak layak konsumsi,False,False,False,True
D4,['minuman'],2,"(-5.39690771605578, 105.2110846330879)",tidak layak konsumsi,True,False,False,True
D5,['makanan'],3,"(-5.37902105025945, 105.3139240442038)",layak konsumsi,True,True,False,True
D6,"['makanan', 'minuman']",1,"(-5.38207978601093, 105.22406288978137)",hampir kadaluarsa,True,True,False,True
D7,"['makanan', 'minuman']",4,"(-5.39018514211113, 105.24062618658968)",layak konsumsi,True,True,False,False
D8,['makanan'],2,"(-5.41629615443852, 105.2121167091682)",hampir kadaluarsa,True,False,True,False
D9,['minuman'],2,"(-5.42062720802502, 105.25126218548193)",hampir kadaluarsa,False,False,False,False
D10,['makanan'],1,"(-5.37965669475927, 105.25000364083952)",hampir kadaluarsa,False,True,False,True
D11,"['makanan', 'minuman']",1,"(-5.42574121238743, 105.22873722200166)",hampir kadaluarsa,False,True,True,False
D12,['makanan'],8,"(-5.43788267286263, 105.27563100283326)",tidak layak konsumsi,False,True,False,False
D13,['makanan'],9,"(-5.40018515976899, 105.24989909933099)",tidak layak konsumsi,True,False,False,True
D14,['makanan'],1,"(-5.38574886803006, 105.29950063768223)",layak konsumsi,False,False,False,True
D15,['makanan'],6,"(-5.40078779773296, 105.28727126963537)",tidak layak konsumsi,False,False,True,False
D16,['makanan'],4,"(-5.37933811747479, 105.21545130569953)",hampir kadaluarsa,True,True,True,True
D17,"['makanan', 'minuman']",9,"(-5.42099638709524, 105.24367387781243)",hampir kadaluarsa,True,False,True,False
D18,"['makanan', 'minuman']",9,"(-5.37288266836699, 105.2487161038848)",layak konsumsi,True,True,False,False
D19,['minuman'],4,"(-5.43724487393346, 105.30988244350007)",tidak layak konsumsi,True,False,True,True
D20,"['makanan', 'minuman']",9,"(-5.43825773293965, 105.21255086376672)",layak konsumsi,True,True,True,True
D21,['makanan'],3,"(-5.42809063036102, 105.26114617431702)",tidak layak konsumsi,False,False,False,True
D22,['minuman'],9,"(-5.38078171350366, 105.31397517811472)",layak konsumsi,True,False,True,False
D23,"['makanan', 'minuman']",2,"(-5.42887374467347, 105.29183450151879)",tidak layak konsumsi,False,True,False,False
D24,['minuman'],3,"(-5.38352321215065, 105.20946660567571)",hampir kadaluarsa,False,False,False,False
D25,['minuman'],3,"(-5.3933871377809, 105.237203254807)",hampir kadaluarsa,False,False,True,True
D26,['makanan'],6,"(-5.39386990569372, 105.24781896620667)",tidak layak konsumsi,False,False,False,False
D27,['makanan'],8,"(-5.41949752418203, 105.25381405395153)",layak konsumsi,True,True,True,False
D28,"['makanan', 'minuman']",1,"(-5.38672990977363, 105.2796248497937)",layak konsumsi,True,False,False,True
D29,"['makanan', 'minuman']",7,"(-5.42201681982803, 105.23692402530446)",layak konsumsi,False,False,True,False
D30,"['makanan', 'minuman']",9,"(-5.42603083689001, 105.2266727736564)",tidak layak konsumsi,True,True,False,True
D31,['makanan'],9,"(-5.37904519853921, 105.2280576037296)",hampir kadaluarsa,False,True,True,False
D32,"['makanan', 'minuman']",6,"(-5.40765289131579, 105.20991025470676)",hampir kadaluarsa,True,False,False,True
D33,['makanan'],7,"(-5.42216739385019, 105.21373325826198)",layak konsumsi,False,False,False,False
D34,['minuman'],8,"(-5.37936400410667, 105.30789148073775)",tidak layak konsumsi,False,False,True,True
D35,['minuman'],10,"(-5.40325897173806, 105.24910150454431)",tidak layak konsumsi,True,True,False,False
D36,['minuman'],8,"(-5.40811112850155, 105.29994702510078)",tidak layak konsumsi,False,True,True,True
D37,"['makanan', 'minuman']",9,"(-5.38403296240525, 105.21554159291009)",hampir kadaluarsa,False,False,True,False
D38,['minuman'],9,"(-5.40896805094256, 105.26126843256169)",layak konsumsi,False,False,True,True
D39,"['makanan', 'minuman']",7,"(-5.37524288803602, 105.21981248074556)",hampir kadaluarsa,True,True,False,True
D40,"['makanan', 'minuman']",9,"(-5.38201706182161, 105.23879928652958)",tidak layak konsumsi,True,False,True,True
D41,['minuman'],5,"(-5.42484233850978, 105.21073252279508)",hampir kadaluarsa,True,False,False,True
D42,['minuman'],3,"(-5.43677689744377, 105.22859082444977)",layak konsumsi,True,False,True,False
D43,"['makanan', 'minuman']",3,"(-5.414238491595, 105.23740373262481)",tidak layak konsumsi,True,False,False,True
D44,['makanan'],4,"(-5.37763919791617, 105.23124420894797)",tidak layak konsumsi,True,False,True,False
D45,['makanan'],5,"(-5.39276789501812, 105.27820034719186)",hampir kadaluarsa,True,True,True,False
D46,"['makanan', 'minuman']",1,"(-5.40214963983878, 105.23806834981359)",layak konsumsi,True,True,True,False
D47,"['makanan', 'minuman']",3,"(-5.43711552938085, 105.28051823030773)",hampir kadaluarsa,False,False,True,True
D48,['makanan'],6,"(-5.42912106378255, 105.30474927363797)",hampir kadaluarsa,True,False,False,True
D49,"['makanan', 'minuman']",4,"(-5.41940124962573, 105.21592435432457)",tidak layak konsumsi,True,False,False,False
D50,['makanan'],2,"(-5.41670920323802, 105.26426739164108)",tidak layak konsumsi,True,True,False,False
D51,['minuman'],5,"(-5.39134154163903, 105.2754916191222)",layak konsumsi,False,False,True,False
D52,"['makanan', 'minuman']",2,"(-5.43793813012978, 105.21041524394619)",hampir kadaluarsa,True,True,True,True
D53,"['makanan', 'minuman']",5,"(-5.38860040421847, 105.31090017764635)",tidak layak konsumsi,True,False,True,True
D54,['minuman'],8,"(-5.37560848664578, 105.25407344683708)",layak konsumsi,False,True,False,False
D55,['makanan'],6,"(-5.39994528109037, 105.26629153224258)",layak konsumsi,True,False,False,True
D56,['minuman'],2,"(-5.41729976042804, 105.3102759615738)",layak konsumsi,True,True,False,True
D57,['makanan'],9,"(-5.43539463273173, 105.2285988121635)",tidak layak konsumsi,True,True,False,True
D58,['minuman'],10,"(-5.39092207886463, 105.2787218524464)",hampir kadaluarsa,True,False,True,True
D59,"['makanan', 'minuman']",6,"(-5.39275653568417, 105.24613385696165)",tidak layak konsumsi,True,False,False,True
D60,"['makanan', 'minuman']",5,"(-5.43212856432118, 105.22179800697913)",tidak layak konsumsi,False,False,False,True
D61,['makanan'],6,"(-5.3958274738028, 105.21943392487152)",tidak layak konsumsi,False,True,False,False
D62,"['makanan', 'minuman']",4,"(-5.41059223300244, 105.31128201997868)",layak konsumsi,False,True,False,False
D63,['makanan'],8,"(-5.40637771305657, 105.24400960623115)",layak konsumsi,False,False,False,False
D64,['makanan'],3,"(-5.3897870089491, 105.2546108205766)",tidak layak konsumsi,False,False,False,True
D65,"['makanan', 'minuman']",8,"(-5.38616596575085, 105.27757183171732)",layak konsumsi,True,True,False,True
D66,['makanan'],1,"(-5.42379104439963, 105.25693822538851)",hampir kadaluarsa,False,True,False,True
D67,['makanan'],5,"(-5.37927381938047, 105.25696035419679)",layak konsumsi,False,False,True,False
D68,"['makanan', 'minuman']",4,"(-5.40348512264853, 105.21238059271624)",hampir kadaluarsa,True,True,True,True
D69,"['makanan', 'minuman']",10,"(-5.38574380978551, 105.3037907567839)",tidak layak konsumsi,True,True,True,False
D70,['makanan'],3,"(-5.37302396408852, 105.26816281446824)",layak konsumsi,False,True,False,True
D71,"['makanan', 'minuman']",9,"(-5.38092843132048, 105.22694241396026)",tidak layak konsumsi,True,True,False,False
D72,"['makanan', 'minuman']",7,"(-5.40124692155262, 105.27179867198578)",layak konsumsi,True,False,False,True
D73,['minuman'],3,"(-5.39886773870038, 105.21629206617925)",hampir kadaluarsa,False,True,False,True
D74,['minuman'],6,"(-5.41353857876933, 105.24705835865132)",hampir kadaluarsa,True,True,False,False
D75,['minuman'],2,"(-5.43005992805653, 105.2781422636457)",tidak layak konsumsi,False,False,False,True
D76,['makanan'],1,"(-5.40110514738108, 105.26645816077607)",layak konsumsi,False,True,True,False
D77,['minuman'],10,"(-5.42895609528378, 105.21326433555083)",tidak layak konsumsi,True,False,True,False
D78,['makanan'],2,"(-5.41157943925912, 105.3013290174815)",layak konsumsi,False,False,True,True
D79,['minuman'],4,"(-5.38151873673087, 105.22789260825425)",layak konsumsi,False,True,True,False
