penerima_id,jenis_makanan_dibutuhkan,jumlah_dibutuhkan,lokasi_penerima,jumlah_diterima,makanan_layak_konsumsi,is_halal,is_for_child,is_for_elderly,is_alergan_free
R1,['makanan'],5,"(-5.40111210034528, 105.24284216038546)",4,tidak layak konsumsi,False,False,False,False
R2,['makanan'],5,"(-5.43770820552181, 105.2300245667009)",4,tidak layak konsumsi,False,False,False,False
R3,['makanan'],8,"(-5.39159919397975, 105.22541881010831)",5,tidak layak konsumsi,False,False,False,False
R4,['minuman'],10,"(-5.40173904848697, 105.23124733197133)",0,tidak layak konsumsi,False,False,False,False
R5,['minuman'],7,"(-5.39033872408051, 105.30929657079442)",2,tidak layak konsumsi,False,False,False,False
R6,['makanan'],7,"(-5.42200897573743, 105.26112922250843)",4,"['layak konsumsi', 'hampir kadaluarsa']",False,False,True,False
R7,"['makanan', 'minuman']",6,"(-5.43375601794988, 105.22919495459342)",5,tidak layak konsumsi,False,False,False,False
R8,['minuman'],1,"(-5.41082789933078, 105.24135743213436)",4,['hampir kadaluarsa'],True,True,False,True
R9,"['makanan', 'minuman']",9,"(-5.4122455447505, 105.30990328153253)",1,['hampir kadaluarsa'],False,True,False,True
R10,"['makanan', 'minuman']",3,"(-5.37465136850275, 105.21226883119907)",3,tidak layak konsumsi,False,False,False,False
R11,['minuman'],6,"(-5.4068055092138, 105.27777865859554)",5,"['layak konsumsi', 'hampir kadaluarsa']",False,False,False,True
R12,"['makanan', 'minuman']",2,"(-5.41570240142568, 105.2478773129653)",3,tidak layak konsumsi,False,False,False,False
R13,"['makanan', 'minuman']",4,"(-5.43298421492492, 105.2452654730023)",4,['hampir kadaluarsa'],False,False,False,False
R14,['makanan'],8,"(-5.42662086778724, 105.27725682659977)",5,['hampir kadaluarsa'],True,True,False,False
R15,['minuman'],2,"(-5.39356758080083, 105.21153176257185)",0,"['layak konsumsi', 'hampir kadaluarsa']",True,False,False,True
R16,"['makanan', 'minuman']",9,"(-5.43531761083158, 105.28118788120003)",3,['hampir kadaluarsa'],True,False,False,True
R17,['makanan'],4,"(-5.42663126330327, 105.3076325932547)",4,['hampir kadaluarsa'],False,False,True,True
R18,"['makanan', 'minuman']",5,"(-5.37392007092424, 105.3045757609502)",3,['layak konsumsi'],False,True,False,False
R19,"['makanan', 'minuman']",9,"(-5.3821624047971, 105.31225933837824)",0,tidak layak konsumsi,False,False,False,False
R20,"['makanan', 'minuman']",1,"(-5.42626472226707, 105.2741674317587)",5,['layak konsumsi'],False,True,False,False
R21,['makanan'],7,"(-5.38587010490599, 105.30143258322119)",1,"['layak konsumsi', 'hampir kadaluarsa']",False,True,False,False
R22,"['makanan', 'minuman']",4,"(-5.43237205247215, 105.27927341095206)",0,tidak layak konsumsi,False,False,False,False
R23,"['makanan', 'minuman']",9,"(-5.37818715373573, 105.28232607716791)",5,['layak konsumsi'],True,True,True,False
R24,['makanan'],1,"(-5.38132550136523, 105.23075350960133)",4,tidak layak konsumsi,False,False,False,False
R25,['makanan'],3,"(-5.40222015539674, 105.21964332135153)",5,tidak layak konsumsi,False,False,False,False
R26,"['makanan', 'minuman']",7,"(-5.39018974347848, 105.25224302418086)",1,"['layak konsumsi', 'hampir kadaluarsa']",False,True,False,True
R27,['makanan'],8,"(-5.41083460068553, 105.24609337098414)",3,tidak layak konsumsi,False,False,False,False
R28,['makanan'],4,"(-5.40190544807806, 105.29094917580937)",1,"['layak konsumsi', 'hampir kadaluarsa']",False,True,True,False
R29,"['makanan', 'minuman']",3,"(-5.42328092886928, 105.21334660171179)",5,['layak konsumsi'],True,True,False,False
R30,['makanan'],8,"(-5.37931423743418, 105.24519809975139)",0,['hampir kadaluarsa'],False,True,False,False
R31,['minuman'],1,"(-5.40332427228955, 105.23385443486607)",0,['hampir kadaluarsa'],True,False,False,False
R32,"['makanan', 'minuman']",1,"(-5.43809901558241, 105.3097960353488)",0,tidak layak konsumsi,False,False,False,False
R33,"['makanan', 'minuman']",7,"(-5.40602230471134, 105.2297975596908)",4,tidak layak konsumsi,False,False,False,False
R34,"['makanan', 'minuman']",5,"(-5.39328887305192, 105.26061273396195)",1,tidak layak konsumsi,False,False,False,False
R35,['minuman'],2,"(-5.43468087148068, 105.29281212381743)",1,['hampir kadaluarsa'],False,False,False,True
