donor_id,jenis_makanan,jumlah_makanan,lokasi_donor,makanan_layak_konsumsi,is_halal,is_for_child,is_for_elderly,is_alergan
D1,"['makanan', 'minuman']",9,"(-5.39086619959972, 105.22248624583906)",tidak layak konsumsi,False,True,True,True
D2,"['makanan', 'minuman']",7,"(-5.42009041047773, 105.22945208920133)",hampir kadaluarsa,True,True,True,False
D3,['minuman'],6,"(-5.37606304508106, 105.21570418340146)",hampir kadaluarsa,False,False,True,False
D4,['minuman'],8,"(-5.40900781700971, 105.25967309726808)",hampir kadaluarsa,True,False,False,False
D5,"['makanan', 'minuman']",3,"(-5.40028791662898, 105.30050177882049)",tidak layak konsumsi,False,False,False,True
D6,['minuman'],2,"(-5.41731504226155, 105.27274147127838)",hampir kadaluarsa,True,True,True,False
D7,"['makanan', 'minuman']",4,"(-5.39213626575396, 105.29896974857249)",hampir kadaluarsa,False,False,True,True
D8,"['makanan', 'minuman']",6,"(-5.40738391782884, 105.27550773181272)",layak konsumsi,False,False,True,False
D9,"['minuman', 'makanan']",8,"(-5.40178715725806, 105.23292430874656)",hampir kadaluarsa,False,True,True,False
D10,['minuman'],3,"(-5.40377730516453, 105.28157238098946)",hampir kadaluarsa,True,True,True,False
D11,['minuman'],4,"(-5.37912845135484, 105.25303643706549)",hampir kadaluarsa,False,False,True,False
D12,['minuman'],4,"(-5.39285264004325, 105.23387812473348)",hampir kadaluarsa,True,False,False,False
D13,"['makanan', 'minuman']",7,"(-5.39049146304085, 105.23769519823351)",layak konsumsi,True,True,False,False
D14,"['makanan', 'minuman']",7,"(-5.43548887067141, 105.23149177826828)",layak konsumsi,True,False,True,True
D15,"['minuman', 'makanan']",3,"(-5.38417374342171, 105.29725169822525)",hampir kadaluarsa,True,False,False,False
D16,"['makanan', 'minuman']",5,"(-5.38390896748765, 105.31111990078516)",tidak layak konsumsi,True,True,False,False
D17,"['minuman', 'makanan']",1,"(-5.37586942044492, 105.22474880990484)",layak konsumsi,True,False,False,False
D18,"['minuman', 'makanan']",5,"(-5.38606576779192, 105.31022326893867)",layak konsumsi,False,False,True,False
D19,['makanan'],9,"(-5.39983745800639, 105.30552203784255)",layak konsumsi,True,True,False,True
D20,['makanan'],3,"(-5.42436334064869, 105.20982502056289)",hampir kadaluarsa,True,True,False,True
D21,"['minuman', 'makanan']",10,"(-5.38958265270027, 105.3066904509331)",layak konsumsi,True,True,False,False
D22,['minuman'],2,"(-5.38332074259305, 105.22305161722419)",tidak layak konsumsi,True,False,False,True
D23,['minuman'],3,"(-5.39746402672874, 105.2994498521921)",hampir kadaluarsa,True,False,False,False
D24,['minuman'],7,"(-5.43331204176929, 105.26569710433148)",hampir kadaluarsa,True,False,True,True
D25,['minuman'],10,"(-5.39062950889838, 105.21215718331844)",tidak layak konsumsi,False,False,True,False
D26,"['makanan', 'minuman']",5,"(-5.39006380193331, 105.21989005990109)",hampir kadaluarsa,True,False,False,True
D27,"['makanan', 'minuman']",3,"(-5.42775292908494, 105.30395503018332)",tidak layak konsumsi,True,True,True,False
D28,"['minuman', 'makanan']",7,"(-5.37436014540467, 105.24839232792529)",layak konsumsi,True,False,False,False
D29,['makanan'],3,"(-5.39055579805477, 105.26792324792044)",hampir kadaluarsa,True,False,True,False
D30,"['makanan', 'minuman']",8,"(-5.37961781354927, 105.24839395886505)",hampir kadaluarsa,True,False,True,True
D31,['makanan'],9,"(-5.42669854153517, 105.28485164281095)",layak konsumsi,False,False,True,False
