penerima_id,jenis_makanan_dibutuhkan,jumlah_dibutuhkan,lokasi_penerima,jumlah_diterima,makanan_layak_konsumsi,is_halal,is_for_child,is_for_elderly,is_alergan_free
R1,"['makanan', 'minuman']",3,"(-5.39838743599072, 105.24906724722626)",4,tidak layak konsumsi,False,False,False,False
R2,"['minuman', 'makanan']",4,"(-5.43072881856674, 105.2631996049102)",4,"['layak konsumsi', 'hampir kadaluarsa']",True,True,False,False
R3,['makanan'],3,"(-5.40582334219877, 105.26766415539079)",1,tidak layak konsumsi,False,False,False,False
R4,"['makanan', 'minuman']",7,"(-5.41167016702319, 105.20865063037164)",4,['layak konsumsi'],False,False,True,True
R5,['makanan'],10,"(-5.43452650068278, 105.23483961739355)",1,"['layak konsumsi', 'hampir kadaluarsa']",True,False,True,True
R6,"['minuman', 'makanan']",8,"(-5.37438197922023, 105.25449128213067)",1,['layak konsumsi'],False,False,False,False
R7,['minuman'],4,"(-5.42574383835259, 105.24996803098402)",0,['hampir kadaluarsa'],False,True,True,False
R8,['makanan'],4,"(-5.40744232523132, 105.29366921794986)",2,tidak layak konsumsi,False,False,False,False
R9,['minuman'],1,"(-5.42954238017696, 105.23284595566149)",3,['layak konsumsi'],False,True,True,False
R10,"['minuman', 'makanan']",5,"(-5.41799451841708, 105.21886371062739)",3,tidak layak konsumsi,False,False,False,False
R11,['makanan'],8,"(-5.41377140118371, 105.23633945339174)",1,tidak layak konsumsi,False,False,False,False
R12,"['makanan', 'minuman']",2,"(-5.40697522893937, 105.28630124716109)",3,tidak layak konsumsi,False,False,False,False
R13,"['makanan', 'minuman']",7,"(-5.43233080088325, 105.21796260081652)",2,tidak layak konsumsi,False,False,False,False
R14,"['makanan', 'minuman']",9,"(-5.39225384126672, 105.27605291320619)",0,"['layak konsumsi', 'hampir kadaluarsa']",False,True,False,False
R15,['minuman'],9,"(-5.37728412032796, 105.21975527566212)",1,tidak layak konsumsi,False,False,False,False
R16,"['makanan', 'minuman']",2,"(-5.40752157788626, 105.23316574789037)",5,tidak layak konsumsi,False,False,False,False
R17,['makanan'],6,"(-5.37838848160783, 105.28233340111724)",2,tidak layak konsumsi,False,False,False,False
R18,['minuman'],1,"(-5.42700915189389, 105.23612246962202)",2,"['hampir kadaluarsa', 'layak konsumsi']",True,True,True,False
R19,['makanan'],9,"(-5.38706286745456, 105.21431203775214)",5,['layak konsumsi'],True,True,False,True
R20,"['minuman', 'makanan']",2,"(-5.40585591712853, 105.29832987593858)",5,tidak layak konsumsi,False,False,False,False
R21,['minuman'],7,"(-5.42070571779326, 105.29727036627305)",4,tidak layak konsumsi,False,False,False,False
R22,"['minuman', 'makanan']",6,"(-5.4043351855582, 105.27846843216612)",5,"['layak konsumsi', 'hampir kadaluarsa']",False,False,True,False
R23,['makanan'],7,"(-5.39803391071463, 105.30953585319862)",3,['layak konsumsi'],True,False,False,True
R24,"['makanan', 'minuman']",8,"(-5.39654663925714, 105.27752913864299)",3,tidak layak konsumsi,False,False,False,False
R25,"['minuman', 'makanan']",4,"(-5.38419886596404, 105.28664192746291)",4,['hampir kadaluarsa'],False,False,True,True
R26,"['minuman', 'makanan']",4,"(-5.40489643328464, 105.25055586776148)",2,['layak konsumsi'],True,False,True,False
R27,"['makanan', 'minuman']",3,"(-5.40721238297427, 105.2264581713614)",4,tidak layak konsumsi,False,False,False,False
R28,"['makanan', 'minuman']",9,"(-5.40783854447454, 105.2198116140852)",4,tidak layak konsumsi,False,False,False,False
R29,"['makanan', 'minuman']",10,"(-5.41782814159312, 105.2907962186906)",5,['layak konsumsi'],False,False,True,True
R30,"['minuman', 'makanan']",5,"(-5.39940331137295, 105.30295689603616)",2,tidak layak konsumsi,False,False,False,False
R31,"['makanan', 'minuman']",5,"(-5.40938285476518, 105.30217276026873)",4,tidak layak konsumsi,False,False,False,False
R32,"['makanan', 'minuman']",7,"(-5.43678256689179, 105.3055023654177)",5,['layak konsumsi'],True,True,True,True
R33,['minuman'],6,"(-5.39472791490595, 105.21799059251497)",0,"['hampir kadaluarsa', 'layak konsumsi']",False,True,True,True
R34,['minuman'],6,"(-5.41658241498185, 105.30459073813053)",5,tidak layak konsumsi,False,False,False,False
R35,['makanan'],8,"(-5.41701010888514, 105.30980656068772)",4,tidak layak konsumsi,False,False,False,False
R36,['makanan'],4,"(-5.42610805650568, 105.26011123619857)",2,tidak layak konsumsi,False,False,False,False
R37,['minuman'],6,"(-5.38373660487576, 105.29573006189166)",5,tidak layak konsumsi,False,False,False,False
R38,['makanan'],4,"(-5.41112084196243, 105.26349590695953)",0,['layak konsumsi'],True,True,False,True
R39,"['minuman', 'makanan']",6,"(-5.38055315918703, 105.25232317236474)",5,"['layak konsumsi', 'hampir kadaluarsa']",True,True,False,True
R40,['makanan'],8,"(-5.43916583414877, 105.29413425317587)",2,['hampir kadaluarsa'],True,False,True,False
R41,['makanan'],1,"(-5.40402172431633, 105.21201693593758)",1,tidak layak konsumsi,False,False,False,False
R42,"['makanan', 'minuman']",10,"(-5.37637692569395, 105.2652235908201)",4,tidak layak konsumsi,False,False,False,False
R43,"['minuman', 'makanan']",10,"(-5.43206444633379, 105.2329412106486)",3,"['layak konsumsi', 'hampir kadaluarsa']",True,False,False,False
R44,['makanan'],2,"(-5.40248888806999, 105.2094152443074)",3,tidak layak konsumsi,False,False,False,False
R45,['makanan'],4,"(-5.38514446759223, 105.24683947035803)",1,['layak konsumsi'],False,False,True,True
R46,"['makanan', 'minuman']",7,"(-5.43782929556575, 105.23087245384941)",4,tidak layak konsumsi,False,False,False,False
R47,"['makanan', 'minuman']",10,"(-5.38058611194409, 105.29839792111024)",4,"['layak konsumsi', 'hampir kadaluarsa']",False,False,True,True
R48,['minuman'],4,"(-5.42038056057601, 105.24870956580504)",0,['layak konsumsi'],False,True,False,True
R49,"['minuman', 'makanan']",8,"(-5.43233452753183, 105.2559903661373)",1,['layak konsumsi'],False,True,False,False
R50,['makanan'],9,"(-5.42866953363736, 105.27170193555126)",4,"['layak konsumsi', 'hampir kadaluarsa']",False,False,False,False
R51,"['minuman', 'makanan']",3,"(-5.41000276508491, 105.2681069200389)",1,['hampir kadaluarsa'],True,True,False,False
R52,"['makanan', 'minuman']",7,"(-5.4263904916601, 105.21184027776671)",1,tidak layak konsumsi,False,False,False,False
R53,"['minuman', 'makanan']",8,"(-5.41837964413112, 105.24656088256987)",2,"['layak konsumsi', 'hampir kadaluarsa']",False,False,True,True
R54,"['makanan', 'minuman']",7,"(-5.41498881969537, 105.23165128094448)",1,tidak layak konsumsi,False,False,False,False
R55,"['makanan', 'minuman']",1,"(-5.38726494617978, 105.29413877379801)",3,tidak layak konsumsi,False,False,False,False
R56,"['makanan', 'minuman']",1,"(-5.42246780395824, 105.25569289843267)",4,tidak layak konsumsi,False,False,False,False
R57,"['minuman', 'makanan']",5,"(-5.37436777748872, 105.26527371678375)",4,tidak layak konsumsi,False,False,False,False
R58,['minuman'],1,"(-5.38738496083011, 105.28585558343507)",3,['hampir kadaluarsa'],False,True,True,False
R59,"['makanan', 'minuman']",5,"(-5.43118915386582, 105.2476518082618)",2,tidak layak konsumsi,False,False,False,False
R60,"['makanan', 'minuman']",3,"(-5.43135410887938, 105.23566583287781)",3,['layak konsumsi'],False,True,True,False
R61,['minuman'],3,"(-5.4027285876882, 105.21320548695094)",1,"['layak konsumsi', 'hampir kadaluarsa']",False,True,True,True
R62,"['makanan', 'minuman']",6,"(-5.41557509112935, 105.27083537692465)",2,tidak layak konsumsi,False,False,False,False
R63,['minuman'],9,"(-5.42653205823991, 105.30920550105083)",2,['layak konsumsi'],True,False,True,False
R64,['makanan'],7,"(-5.40806862558166, 105.26045960581654)",0,tidak layak konsumsi,False,False,False,False
R65,"['minuman', 'makanan']",4,"(-5.42317730741493, 105.22265301931651)",0,tidak layak konsumsi,False,False,False,False
R66,"['minuman', 'makanan']",10,"(-5.40718008751554, 105.20917352581486)",2,tidak layak konsumsi,False,False,False,False
R67,"['makanan', 'minuman']",5,"(-5.41346667254204, 105.21660873589039)",0,tidak layak konsumsi,False,False,False,False
R68,['makanan'],1,"(-5.39639315141297, 105.3090827637572)",4,tidak layak konsumsi,False,False,False,False
R69,"['minuman', 'makanan']",3,"(-5.38853257176436, 105.23094941210421)",1,tidak layak konsumsi,False,False,False,False
R70,"['makanan', 'minuman']",10,"(-5.38768575168092, 105.22723470423712)",5,"['hampir kadaluarsa', 'layak konsumsi']",False,True,False,True
R71,"['minuman', 'makanan']",9,"(-5.38378114709204, 105.31102840365494)",1,"['hampir kadaluarsa', 'layak konsumsi']",True,False,True,False
R72,['minuman'],4,"(-5.4215046330413, 105.21084922194079)",5,tidak layak konsumsi,False,False,False,False
R73,"['minuman', 'makanan']",2,"(-5.38905968598171, 105.29509232393887)",1,['hampir kadaluarsa'],True,False,False,False
R74,['makanan'],3,"(-5.41057458719732, 105.22636490372625)",5,"['layak konsumsi', 'hampir kadaluarsa']",True,False,False,True
R75,['minuman'],10,"(-5.38497512941236, 105.30826022932686)",2,tidak layak konsumsi,False,False,False,False
R76,"['minuman', 'makanan']",6,"(-5.4293725085793, 105.21685131012545)",1,"['hampir kadaluarsa', 'layak konsumsi']",False,True,True,True
R77,"['minuman', 'makanan']",9,"(-5.43809766441419, 105.27364701167673)",2,"['hampir kadaluarsa', 'layak konsumsi']",False,True,False,True
R78,['makanan'],5,"(-5.40585877612368, 105.31395757817384)",1,tidak layak konsumsi,False,False,False,False
R79,"['minuman', 'makanan']",10,"(-5.42755082713476, 105.29572256207778)",5,tidak layak konsumsi,False,False,False,False
R80,"['minuman', 'makanan']",5,"(-5.4301083832852, 105.23959119005711)",4,tidak layak konsumsi,False,False,False,False
R81,"['makanan', 'minuman']",6,"(-5.43042872441431, 105.27278857699397)",0,tidak layak konsumsi,False,False,False,False
R82,"['makanan', 'minuman']",6,"(-5.37624688442745, 105.215160035545)",5,"['hampir kadaluarsa', 'layak konsumsi']",False,True,False,False
R83,['minuman'],8,"(-5.41066918509814, 105.26181083901876)",3,tidak layak konsumsi,False,False,False,False
R84,['makanan'],4,"(-5.42063009931992, 105.2253044971637)",3,tidak layak konsumsi,False,False,False,False
R85,"['minuman', 'makanan']",3,"(-5.43687109386034, 105.28118119071097)",2,tidak layak konsumsi,False,False,False,False
R86,"['makanan', 'minuman']",10,"(-5.37983786865364, 105.30514260782844)",0,"['layak konsumsi', 'hampir kadaluarsa']",False,True,True,False
R87,"['makanan', 'minuman']",4,"(-5.41892625496661, 105.25551568708974)",2,"['hampir kadaluarsa', 'layak konsumsi']",True,True,True,False
R88,"['makanan', 'minuman']",5,"(-5.41167834692436, 105.30074052138029)",2,"['hampir kadaluarsa', 'layak konsumsi']",False,False,True,False
R89,['minuman'],3,"(-5.40790405745245, 105.2714066449598)",5,tidak layak konsumsi,False,False,False,False
R90,['minuman'],4,"(-5.37333614157297, 105.25477552285385)",1,tidak layak konsumsi,False,False,False,False
R91,"['makanan', 'minuman']",6,"(-5.39676094600583, 105.23946184254898)",5,tidak layak konsumsi,False,False,False,False
R92,['minuman'],8,"(-5.39960384171105, 105.2087534431936)",5,"['layak konsumsi', 'hampir kadaluarsa']",False,False,False,True
R93,"['minuman', 'makanan']",8,"(-5.4063641037742, 105.26510723112712)",3,"['layak konsumsi', 'hampir kadaluarsa']",True,False,True,True
R94,"['minuman', 'makanan']",9,"(-5.43551271856764, 105.2293527008039)",4,tidak layak konsumsi,False,False,False,False
R95,"['makanan', 'minuman']",2,"(-5.39575364301212, 105.21418281509861)",1,"['hampir kadaluarsa', 'layak konsumsi']",False,True,False,True
R96,['minuman'],3,"(-5.40335289647194, 105.21878128812563)",1,['layak konsumsi'],False,False,False,True
R97,"['minuman', 'makanan']",6,"(-5.37798586087536, 105.24749169158196)",1,tidak layak konsumsi,False,False,False,False
R98,"['makanan', 'minuman']",6,"(-5.40390528979998, 105.31340495278675)",0,tidak layak konsumsi,False,False,False,False
R99,['makanan'],3,"(-5.40228237400395, 105.27602643845727)",4,tidak layak konsumsi,False,False,False,False
R100,"['makanan', 'minuman']",9,"(-5.38537900097866, 105.22622991528593)",1,"['layak konsumsi', 'hampir kadaluarsa']",False,False,False,False
R101,['minuman'],7,"(-5.41322801625728, 105.29320593528213)",5,tidak layak konsumsi,False,False,False,False
R102,"['makanan', 'minuman']",7,"(-5.43397528454068, 105.22710472182807)",3,tidak layak konsumsi,False,False,False,False
R103,['makanan'],7,"(-5.42418595597229, 105.26842317181544)",4,tidak layak konsumsi,False,False,False,False
R104,['minuman'],6,"(-5.41190930249143, 105.2153699807272)",0,tidak layak konsumsi,False,False,False,False
R105,['minuman'],2,"(-5.4061143340253, 105.29059996184176)",5,['hampir kadaluarsa'],True,False,False,False
R106,['minuman'],9,"(-5.4205293650565, 105.24827443003664)",2,tidak layak konsumsi,False,False,False,False
R107,"['minuman', 'makanan']",2,"(-5.37368375836278, 105.27336688176196)",3,tidak layak konsumsi,False,False,False,False
R108,['minuman'],1,"(-5.43270087111218, 105.26734835132712)",0,"['layak konsumsi', 'hampir kadaluarsa']",True,False,True,False
R109,"['makanan', 'minuman']",6,"(-5.4003656042844, 105.29337510229007)",5,tidak layak konsumsi,False,False,False,False
R110,"['makanan', 'minuman']",9,"(-5.39599462689028, 105.26218234609576)",0,"['layak konsumsi', 'hampir kadaluarsa']",False,True,False,True
R111,"['makanan', 'minuman']",8,"(-5.40133623789685, 105.2777100556227)",4,tidak layak konsumsi,False,False,False,False
R112,"['makanan', 'minuman']",6,"(-5.39864874190986, 105.26128352711673)",0,"['layak konsumsi', 'hampir kadaluarsa']",True,False,True,False
R113,['makanan'],9,"(-5.42996822797999, 105.25787931050775)",3,tidak layak konsumsi,False,False,False,False
R114,"['minuman', 'makanan']",8,"(-5.39019096143623, 105.21403901467745)",3,"['hampir kadaluarsa', 'layak konsumsi']",False,True,False,True
R115,['makanan'],4,"(-5.39649067794624, 105.26720346367998)",5,tidak layak konsumsi,False,False,False,False
R116,"['makanan', 'minuman']",1,"(-5.43260488380682, 105.21906784591596)",4,tidak layak konsumsi,False,False,False,False
R117,['makanan'],8,"(-5.42110669320088, 105.2728108786553)",0,['hampir kadaluarsa'],True,True,False,False
R118,"['minuman', 'makanan']",3,"(-5.43111251882049, 105.22485911337682)",3,tidak layak konsumsi,False,False,False,False
R119,['minuman'],7,"(-5.37504689797411, 105.29039847716184)",5,"['hampir kadaluarsa', 'layak konsumsi']",True,False,False,True
